GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
FUN0_008832	scaffold_7:1835800-1838221	-	638	Meiotic Sister-Chromatid recombination aldehyde dehydrogenase		ENOG503NXCB									GO:0016491 oxidoreductase activity; GO:0016620 oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor		
FUN0_008833	scaffold_7:1839289-1841347	-	650	Cell wall assembly regulator		ENOG503NV8B									GO:0042546 cell wall biogenesis		
FUN0_008834	scaffold_7:1841719-1843785	-	529	hypothetical protein		ENOG503NXV8									GO:0008410 CoA-transferase activity; GO:0046952 ketone body catabolic process		
FUN0_008835	scaffold_7:1844229-1846355	-	527	hypothetical protein		ENOG503NXV8									GO:0008410 CoA-transferase activity; GO:0046952 ketone body catabolic process		
FUN0_008836	scaffold_7:1846721-1848061	-	355	Twinfilin-1		ENOG503NXFR									GO:0003779 actin binding; GO:0030837 negative regulation of actin filament polymerization		
FUN0_008837	scaffold_7:1848697-1849052	-	99	hypothetical protein													
FUN0_008838	scaffold_7:1851105-1852551	-	354	hypothetical protein		ENOG503PCQS											
FUN0_008838	scaffold_7:1851105-1852281	-	302	hypothetical protein		ENOG503PCQS											
FUN0_008839	scaffold_7:1856443-1858433	-	482	hypothetical protein		ENOG503PCQS											
FUN0_008840	scaffold_7:1861332-1861565	+	57	hypothetical protein													
FUN0_008841	scaffold_7:1862876-1864385	-	440	hypothetical protein		ENOG503NZH4											
FUN0_008842	scaffold_7:1864666-1871358	+	1932	TATA-binding protein-associated factor mot1		ENOG503NU0Z									GO:0140658 ATP-dependent chromatin remodeler activity; GO:0005524 ATP binding; GO:0017025 TBP-class protein binding; GO:0016887 ATP hydrolysis activity; GO:0003677 DNA binding		
FUN0_008843	scaffold_7:1873804-1874107	-	100	hypothetical protein													
FUN0_008844	scaffold_7:1877048-1878074	+	249	hypothetical protein													
FUN0_008845	scaffold_7:1879320-1880112	+	209	hypothetical protein													
FUN0_008845	scaffold_7:1879474-1880112	+	175	hypothetical protein													
FUN0_008846	scaffold_7:1880080-1880989	+	285	hypothetical protein		ENOG503PEEC											
FUN0_008847	scaffold_7:1881472-1882886	+	380	hypothetical protein		ENOG503NZ38											
FUN0_008848	scaffold_7:1883131-1884608	+	369	E3 ubiquitin-protein ligase rad18		ENOG503NYXM									GO:0061630 ubiquitin protein ligase activity; GO:0003697 single-stranded DNA binding; GO:0003677 DNA binding; GO:0006513 protein monoubiquitination; GO:0006301 postreplication repair; GO:0006281 DNA repair		
FUN0_008849	scaffold_7:1885104-1885958	+	224	hypothetical protein		ENOG503PFWK											
FUN0_008850	scaffold_7:1886421-1887199	+	223	hypothetical protein		ENOG503PD5Z											
FUN0_008851	scaffold_7:1888369-1888996	-	208	hypothetical protein													
FUN0_008852	scaffold_7:1889141-1889825	-	175	hypothetical protein		ENOG503P312									GO:0106035 protein maturation by [4Fe-4S] cluster transfer		
FUN0_008853	scaffold_7:1890027-1892003	+	358	hypothetical protein		ENOG503P7Y3											
FUN0_008853	scaffold_7:1890205-1892003	+	334	hypothetical protein		ENOG503P7Y3											
FUN0_008854	scaffold_7:1892386-1897123	-	1327	transcriptional repressor proteinral negative regulator of transcription subunit 4		ENOG503NUX1									GO:0030014 CCR4-NOT complex; GO:0004842 ubiquitin-protein transferase activity; GO:0003676 nucleic acid binding		
FUN0_008855	scaffold_7:1901164-1903464	+	606	hypothetical protein		ENOG503NYNU									GO:0005524 ATP binding; GO:0003676 nucleic acid binding		
FUN0_008856	scaffold_7:1903762-1904295	-	119	hypothetical protein		ENOG503P69I									GO:0003677 DNA binding		
FUN0_008857	scaffold_7:1904478-1908704	+	1143	TATA-binding protein-associated factor mot1		ENOG503NU0Z									GO:0031251 PAN complex; GO:0005515 protein binding; GO:0004535 poly(A)-specific ribonuclease activity; GO:0003676 nucleic acid binding; GO:0006397 mRNA processing; GO:0000289 nuclear-transcribed mRNA poly(A) tail shortening		
FUN0_008858	scaffold_7:1908822-1910159	-	306	uracil DNA glycosylase		ENOG503NWWC									GO:0016799 hydrolase activity, hydrolyzing N-glycosyl compounds; GO:0004844 uracil DNA N-glycosylase activity; GO:0006284 base-excision repair; GO:0006281 DNA repair		
FUN0_008859	scaffold_7:1910463-1911661	-	365	hypothetical protein		ENOG503NY27											
FUN0_008860	scaffold_7:1912327-1913200	-	290	hypothetical protein													
FUN0_008861	scaffold_7:1914323-1915851	+	457	hypothetical protein		ENOG503P02V											
FUN0_008862	scaffold_7:1917330-1917721	+	99	hypothetical protein													
FUN0_008863	scaffold_7:1918597-1918777	+	59	methionine--tRNA ligase mes1		ENOG503NXU3											
FUN0_008864	scaffold_7:1919330-1919731	-	116	hypothetical protein		ENOG503NTXG											
FUN0_008865	scaffold_7:1922593-1923174	+	177	hypothetical protein		ENOG503PBCX									GO:0005515 protein binding		
FUN0_008866	scaffold_7:1923707-1924400	+	213	hypothetical protein		ENOG503PBCX											
FUN0_008867	scaffold_7:1925158-1925628	-	118	hypothetical protein													
FUN0_008868	scaffold_7:1926239-1926827	+	123	Nuclear transport factor 2		ENOG503P3YM									GO:0006913 nucleocytoplasmic transport		
FUN0_008869	scaffold_7:1927152-1929802	-	697	vacuolar protein sorting-associated protein 1		ENOG503NU4R									GO:0005525 GTP binding; GO:0003924 GTPase activity		
FUN0_008870	scaffold_7:1929962-1932786	+	836	pre-mRNA-splicing factor cwc22		ENOG503NU93									GO:0005515 protein binding; GO:0003723 RNA binding		
FUN0_008871	scaffold_7:1933249-1934247	+	293	hypothetical protein		ENOG503P35V											
FUN0_008872	scaffold_7:1934626-1936408	+	575	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008873	scaffold_7:1938172-1938661	-	162	hypothetical protein													
FUN0_008874	scaffold_7:1939312-1939712	-	114	U2 snRNP component prp10		ENOG503NVKB									GO:0003729 mRNA binding; GO:0000245 spliceosomal complex assembly		
FUN0_008875	scaffold_7:1939916-1940216	-	99	U2 snRNP component prp10		ENOG503NVKB									GO:0003729 mRNA binding; GO:0000245 spliceosomal complex assembly		
FUN0_008876	scaffold_7:1940383-1940708	-	89	U2 snRNP component prp10		ENOG503NVKB											
FUN0_008877	scaffold_7:1943015-1943859	-	224	hypothetical protein													
FUN0_008878	scaffold_7:1944549-1946211	+	535	hypothetical protein		ENOG503PK2W											
FUN0_008879	scaffold_7:1950051-1951668	+	521	hypothetical protein		ENOG503PK2W											
FUN0_008880	scaffold_7:1953039-1953421	-	104	hypothetical protein													
FUN0_008881	scaffold_7:1954818-1955829	-	251	DNA replication factor C complex subunit Rfc1		ENOG503NWJJ									GO:0005663 DNA replication factor C complex; GO:0005524 ATP binding; GO:0003677 DNA binding; GO:0003689 DNA clamp loader activity; GO:0006260 DNA replication		
FUN0_008882	scaffold_7:1955830-1956195	-	88	DNA replication factor C complex subunit Rfc1		ENOG503NWJJ											
FUN0_008883	scaffold_7:1956244-1957937	-	440	DNA replication factor C complex subunit Rfc1		ENOG503NWJJ									GO:0005524 ATP binding; GO:0016887 ATP hydrolysis activity		
FUN0_008884	scaffold_7:1958360-1960099	+	540	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008884	scaffold_7:1958360-1960048	+	544	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008884	scaffold_7:1958890-1960099	+	381	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008885	scaffold_7:1962538-1964141	+	515	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008886	scaffold_7:1969682-1971295	-	518	hypothetical protein		ENOG503P8YH											
FUN0_008887	scaffold_7:1971775-1972364	+	135	hypothetical protein													
FUN0_008888	scaffold_7:1977367-1978273	-	285	hypothetical protein		ENOG503P7N0									GO:0005634 nucleus; GO:0000775 chromosome, centromeric region; GO:0000278 mitotic cell cycle		
FUN0_008889	scaffold_7:1978499-1980071	+	523	hypothetical protein		ENOG503PATA											
FUN0_008890	scaffold_7:1981044-1981706	+	124	hypothetical protein		ENOG50KOG1759											
FUN0_008891	scaffold_7:1983539-1984307	-	255	hypothetical protein		ENOG503P8KV									GO:0000172 ribonuclease MRP complex; GO:0005655 nucleolar ribonuclease P complex; GO:0003676 nucleic acid binding; GO:0001682 tRNA 5'-leader removal; GO:0006396 RNA processing		
FUN0_008892	scaffold_7:1984542-1986127	+	437	translation termination factor eRF1		ENOG503NU1U									GO:0003747 translation release factor activity; GO:0006415 translational termination		
FUN0_008893	scaffold_7:1986779-1987489	+	181	hypothetical protein		ENOG503PEYA											
FUN0_008894	scaffold_7:1987796-1992440	+	1331	hypothetical protein		ENOG503PAAZ									GO:0016787 hydrolase activity; GO:0016810 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds		
FUN0_008895	scaffold_7:1997183-1998415	-	304	hypothetical protein		ENOG503Q5CX									GO:0005525 GTP binding		
FUN0_008895	scaffold_7:1997374-1998415	-	258	hypothetical protein		ENOG503Q5CX									GO:0005525 GTP binding		
FUN0_008896	scaffold_7:1999244-1999962	-	166	hypothetical protein													
FUN0_008897	scaffold_7:1999982-2000573	-	125	Target of rapamycin complex 1 subunit kog1		ENOG503NUIX									GO:0005515 protein binding		
FUN0_008898	scaffold_7:2001473-2002001	-	139	Proteolipid protein 2		ENOG503NYDG											
FUN0_008899	scaffold_7:2002139-2006893	+	1466	Dicer-like protein 1		ENOG503NUDM									GO:0005524 ATP binding; GO:0004525 ribonuclease III activity; GO:0016787 hydrolase activity; GO:0003677 DNA binding; GO:0016891 RNA endonuclease activity, producing 5'-phosphomonoesters; GO:0006396 RNA processing		
FUN0_008900	scaffold_7:2007502-2009450	+	460	hypothetical protein		ENOG503PCQS											
FUN0_008901	scaffold_7:2010240-2010972	-	188	hypothetical protein													
FUN0_008902	scaffold_7:2012200-2015338	+	836	H(+)-transporting V0 sector ATPase subunit a		ENOG503NWGW									GO:0033179 proton-transporting V-type ATPase, V0 domain; GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain; GO:0046961 proton-transporting ATPase activity, rotational mechanism; GO:1902600 proton transmembrane transport		
FUN0_008903	scaffold_7:2015843-2019232	+	1057	translational elongation factor EF-1 alpha		ENOG503NWIQ									GO:0005524 ATP binding		
FUN0_008904	scaffold_7:2019631-2021026	+	291	hypothetical protein		ENOG503Q4N5											
FUN0_008905	scaffold_7:2023211-2024017	+	247	hypothetical protein		ENOG503P6BX									GO:0016407 acetyltransferase activity		
FUN0_008906	scaffold_7:2025010-2025667	+	218	hypothetical protein													
FUN0_008907	scaffold_7:2028118-2029092	-	211	Rab GTPase ypt31		ENOG503NV4U									GO:0005525 GTP binding; GO:0003924 GTPase activity		
FUN0_008908	scaffold_7:2031432-2031912	+	124	hypothetical protein		ENOG503P5K9									GO:0016857 racemase and epimerase activity, acting on carbohydrates and derivatives		
FUN0_008909	scaffold_7:2032331-2032804	+	119	hypothetical protein		ENOG503P5K9									GO:0016857 racemase and epimerase activity, acting on carbohydrates and derivatives		
FUN0_008910	scaffold_7:2035133-2035611	+	117	hypothetical protein		ENOG503P5K9									GO:0016857 racemase and epimerase activity, acting on carbohydrates and derivatives		
FUN0_008911	scaffold_7:2035866-2037486	+	435	hypothetical protein		ENOG503P114											
FUN0_008912	scaffold_7:2038251-2039060	+	253	hypothetical protein		ENOG503PEW7											
FUN0_008913	scaffold_7:2041350-2042959	+	516	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008913	scaffold_7:2041873-2042959	+	361	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008914	scaffold_7:2044742-2046302	+	502	hypothetical protein		ENOG50									GO:0005515 protein binding		
FUN0_008915	scaffold_7:2046985-2047288	+	100	hypothetical protein													
FUN0_008916	scaffold_7:2047309-2047693	+	115	hypothetical protein													
FUN0_008917	scaffold_7:2047925-2048693	+	218	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008918	scaffold_7:2049108-2049516	+	135	hypothetical protein		ENOG503PK2W											
FUN0_008919	scaffold_7:2054599-2055044	+	130	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008920	scaffold_7:2056769-2057237	+	139	hypothetical protein		ENOG503PCNV											
FUN0_008921	scaffold_7:2058196-2059224	-	286	hypothetical protein		ENOG503PCNV											
FUN0_008922	scaffold_7:2059553-2061214	-	533	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008923	scaffold_7:2061781-2062189	-	100	hypothetical protein		ENOG503P7NK									GO:0005739 mitochondrion; GO:0033617 mitochondrial cytochrome c oxidase assembly		
FUN0_008924	scaffold_7:2063476-2065134	-	532	hypothetical protein		ENOG503PK2W											
FUN0_008925	scaffold_7:2065419-2067066	-	513	hypothetical protein		ENOG503P0VM											
FUN0_008926	scaffold_7:2067396-2068545	+	312	Spliceosome-associated protein 49		ENOG503NWYN									GO:0003723 RNA binding; GO:0003676 nucleic acid binding		
FUN0_008927	scaffold_7:2069190-2069861	+	172	hypothetical protein		ENOG503P544											
FUN0_008928	scaffold_7:2070283-2071101	-	191	GTPase Cdc42		ENOG503NUXM									GO:0005525 GTP binding; GO:0003924 GTPase activity; GO:0007264 small GTPase mediated signal transduction		
FUN0_008928	scaffold_7:2070389-2071101	-	173	GTPase Cdc42, variant 2		ENOG503NUXM									GO:0005525 GTP binding; GO:0003924 GTPase activity; GO:0007264 small GTPase mediated signal transduction		
FUN0_008929	scaffold_7:2071755-2074663	-	702	hypothetical protein		ENOG503PBY0									GO:0005515 protein binding; GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_008929	scaffold_7:2072124-2074663	-	608	hypothetical protein		ENOG503PBY0									GO:0005515 protein binding; GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_008930	scaffold_7:2075622-2078441	-	687	hypothetical protein		ENOG503PF9P									GO:0005515 protein binding; GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_008930	scaffold_7:2075849-2078441	-	648	hypothetical protein		ENOG503PF9P									GO:0005515 protein binding; GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_008931	scaffold_7:2079216-2079647	-	106	hypothetical protein		ENOG503PF9P											
FUN0_008932	scaffold_7:2079815-2081643	-	537	hypothetical protein		ENOG503PHXF									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_008933	scaffold_7:2082724-2086666	-	1116	hypothetical protein		ENOG503PF9P									GO:0005515 protein binding		
FUN0_008934	scaffold_7:2088348-2091965	+	1120	hypothetical protein		ENOG503NV3Z									GO:0003968 RNA-dependent RNA polymerase activity		
FUN0_008935	scaffold_7:2093170-2093650	-	123	hypothetical protein													
FUN0_008936	scaffold_7:2094259-2095539	-	293	hypothetical protein													
FUN0_008937	scaffold_7:2095856-2096327	+	156	hypothetical protein		ENOG503PE4I											
FUN0_008938	scaffold_7:2096432-2097141	+	219	hypothetical protein													
FUN0_008939	scaffold_7:2097174-2097908	+	226	hypothetical protein													
FUN0_008940	scaffold_7:2102114-2102699	+	194	hypothetical protein		ENOG503NV3Z											
FUN0_008941	scaffold_7:2102769-2103084	+	104	hypothetical protein													
FUN0_008942	scaffold_7:2103613-2105714	+	631	hypothetical protein		ENOG503NV3Z									GO:0003968 RNA-dependent RNA polymerase activity		
FUN0_008943	scaffold_7:2107879-2111787	+	1214	hypothetical protein		ENOG503NV3Z									GO:0003968 RNA-dependent RNA polymerase activity		
FUN0_008944	scaffold_7:2112599-2114260	-	534	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008945	scaffold_7:2114425-2115787	-	453	hypothetical protein		ENOG503PK2W											
FUN0_008946	scaffold_7:2116362-2117351	+	261	Adenylate kinase		ENOG503NV5B									GO:0016776 phosphotransferase activity, phosphate group as acceptor; GO:0005524 ATP binding; GO:0004017 adenylate kinase activity; GO:0019205 nucleobase-containing compound kinase activity; GO:0006172 ADP biosynthetic process; GO:0006139 nucleobase-containing compound metabolic process		
FUN0_008947	scaffold_7:2118669-2120365	+	543	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008948	scaffold_7:2121260-2121957	+	210	hypothetical protein		ENOG50									GO:0005515 protein binding		
FUN0_008949	scaffold_7:2122630-2123076	-	133	hypothetical protein													
FUN0_008949	scaffold_7:2122630-2122861	-	76	hypothetical protein													
FUN0_008950	scaffold_7:2125517-2126900	+	445	hypothetical protein		ENOG50											
FUN0_008951	scaffold_7:2128952-2130669	+	550	hypothetical protein		ENOG503PK2W											
FUN0_008952	scaffold_7:2131453-2133150	+	540	hypothetical protein		ENOG503PK2W											
FUN0_008953	scaffold_7:2136656-2137692	+	328	hypothetical protein		ENOG503NXSM											
FUN0_008954	scaffold_7:2138175-2140160	-	561	pre-mRNA cleavage and polyadenylation factor (CPF) complex subunit		ENOG503NUVK									GO:0005515 protein binding; GO:0031124 mRNA 3'-end processing		
FUN0_008955	scaffold_7:2140556-2141499	+	138	histone H3.1		ENOG503P1RT									GO:0000786 nucleosome; GO:0030527 structural constituent of chromatin; GO:0046982 protein heterodimerization activity; GO:0003677 DNA binding		
FUN0_008956	scaffold_7:2142534-2143749	-	404	hypothetical protein		ENOG50											
FUN0_008957	scaffold_7:2144885-2145384	-	147	hypothetical protein		ENOG503PK2W									GO:0005515 protein binding		
FUN0_008958	scaffold_7:2148519-2150384	+	562	hypothetical protein		ENOG503PBCX									GO:0005515 protein binding		
FUN0_008959	scaffold_7:2152802-2153261	-	152	hypothetical protein		ENOG503PDC8											
FUN0_008960	scaffold_7:2153623-2154271	-	215	hypothetical protein		ENOG503PDC8											
FUN0_008961	scaffold_7:2155216-2156330	-	296	hypothetical protein		ENOG503PD4W											
FUN0_008962	scaffold_7:2156643-2157023	+	106	hypothetical protein		ENOG503P2NW											
FUN0_008963	scaffold_7:2157144-2158978	+	269	hypothetical protein		ENOG503NYK2									GO:0019722 calcium-mediated signaling		
FUN0_008964	scaffold_7:2159889-2162818	+	883	hypothetical protein		ENOG503P3I8											
FUN0_008965	scaffold_7:2163458-2164924	+	432	hypothetical protein		ENOG503PATV									GO:0004722 protein serine/threonine phosphatase activity; GO:0006470 protein dephosphorylation		
FUN0_008966	scaffold_7:2165138-2166260	+	337	deoxycytidyl transferase		ENOG503NTZX											
FUN0_008967	scaffold_7:2166322-2168868	+	763	deoxycytidyl transferase		ENOG503NTZX									GO:0003684 damaged DNA binding; GO:0006281 DNA repair		
FUN0_008968	scaffold_7:2168900-2169754	-	251	hypothetical protein		ENOG503P43S											
FUN0_008969	scaffold_7:2170094-2173620	+	1007	hypothetical protein		ENOG503NYPN									GO:0016020 membrane; GO:0005524 ATP binding; GO:0140359 ABC-type transporter activity		
FUN0_008970	scaffold_7:2174556-2175582	-	288	hypothetical protein		ENOG503P494											
FUN0_008971	scaffold_7:2175906-2177437	-	404	hypothetical protein		ENOG503P3N3									GO:0004190 aspartic-type endopeptidase activity; GO:0006508 proteolysis		
FUN0_008971	scaffold_7:2176238-2177437	-	328	hypothetical protein		ENOG503P3N3									GO:0004190 aspartic-type endopeptidase activity; GO:0006508 proteolysis		
FUN0_008972	scaffold_7:2177920-2179320	+	286	hypothetical protein		ENOG503NYJU											
FUN0_008973	scaffold_7:2179581-2181161	-	390	hypothetical protein		ENOG503PC90											
FUN0_008973	scaffold_7:2179581-2181120	-	405	hypothetical protein		ENOG503PC90											
FUN0_008974	scaffold_7:2181412-2181774	+	81	hypothetical protein		ENOG503P8JX									GO:0005758 mitochondrial intermembrane space; GO:0005507 copper ion binding; GO:0016531 copper chaperone activity		
FUN0_008975	scaffold_7:2182339-2183392	-	350	hypothetical protein		ENOG503Q59Y									GO:0004497 monooxygenase activity; GO:0020037 heme binding; GO:0005506 iron ion binding; GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen		
FUN0_008976	scaffold_7:2184248-2185301	-	350	hypothetical protein		ENOG503Q59Y											
FUN0_008977	scaffold_7:2186287-2188761	-	807	RNA helicase		ENOG503NVKA									GO:0005524 ATP binding; GO:0016817 hydrolase activity, acting on acid anhydrides; GO:0003724 RNA helicase activity		
FUN0_008978	scaffold_7:2188953-2189329	+	108	mitochondral 37S ribosomal protein S27		ENOG503P731											
FUN0_008979	scaffold_7:2189436-2190192	-	233	hypothetical protein		ENOG503P7WW											
FUN0_008980	scaffold_7:2191349-2191772	+	140	hypothetical protein		ENOG503P3ZT											
FUN0_008981	scaffold_7:2192021-2192877	-	266	hypothetical protein		ENOG503P9F4									GO:0032592; GO:0016020 membrane; GO:0055088 lipid homeostasis		
FUN0_008981	scaffold_7:2192021-2192744	-	218	hypothetical protein		ENOG503P9F4									GO:0032592; GO:0016020 membrane; GO:0055088 lipid homeostasis		
FUN0_008982	scaffold_7:2195323-2195716	+	112	hypothetical protein		ENOG503PK7N											
FUN0_008983	scaffold_7:2197033-2198078	-	331	hypothetical protein		ENOG503PGIK											
FUN0_008984	scaffold_7:2198496-2199925	-	393	Tryptophan--tRNA ligase, mitochondrial		ENOG503NUPK									GO:0000166 nucleotide binding; GO:0005524 ATP binding; GO:0004830 tryptophan-tRNA ligase activity; GO:0004812 aminoacyl-tRNA ligase activity; GO:0006418 tRNA aminoacylation for protein translation; GO:0006436 tryptophanyl-tRNA aminoacylation		
FUN0_008984	scaffold_7:2198496-2199534	-	279	Tryptophan--tRNA ligase, mitochondrial, variant 2		ENOG503NUPK									GO:0000166 nucleotide binding; GO:0005524 ATP binding; GO:0004830 tryptophan-tRNA ligase activity; GO:0004812 aminoacyl-tRNA ligase activity; GO:0006418 tRNA aminoacylation for protein translation; GO:0006436 tryptophanyl-tRNA aminoacylation		
FUN0_008985	scaffold_7:2200055-2202850	+	688	N-alpha-acetyltransferase, non-catalitic subunit		ENOG503NZJK									GO:0031417 NatC complex; GO:0017196 N-terminal peptidyl-methionine acetylation		
FUN0_008986	scaffold_7:2203477-2204823	+	376	alpha,alpha-trehalase nth1		ENOG503NXI5									GO:0003824 catalytic activity; GO:0006284 base-excision repair; GO:0006281 DNA repair		
FUN0_008986	scaffold_7:2203477-2204524	+	311	alpha,alpha-trehalase nth1, variant 2		ENOG503NXI5									GO:0003824 catalytic activity; GO:0006284 base-excision repair; GO:0006281 DNA repair		
FUN0_008987	scaffold_7:2205828-2207587	+	326	hypothetical protein		ENOG503PKAQ											
FUN0_008988	scaffold_7:2217341-2218238	+	298	hypothetical protein		ENOG503PH9T									GO:0008270 zinc ion binding; GO:0003676 nucleic acid binding		
FUN0_008989	scaffold_7:2221884-2222961	+	358	hypothetical protein													
FUN0_008990	scaffold_7:2224076-2224852	+	187	hypothetical protein		ENOG50											
FUN0_008991	scaffold_7:2224874-2226698	-	507	hypothetical protein		ENOG503NZAA									GO:0008324 monoatomic cation transmembrane transporter activity; GO:0006812 monoatomic cation transport		
FUN0_008992	scaffold_7:2227059-2229306	+	594	Transcriptional regulator		ENOG503NZVY											
FUN0_008993	scaffold_7:2229461-2230350	-	261	hypothetical protein		ENOG503P933									GO:0006360 transcription by RNA polymerase I		
FUN0_008994	scaffold_7:2230791-2231210	-	121	hypothetical protein		ENOG503PK7N											
FUN0_008995	scaffold_7:2234460-2234960	+	116	hypothetical protein													
FUN0_008996	scaffold_7:2237357-2238727	-	214	hypothetical protein		ENOG50											
FUN0_008997	scaffold_7:2239131-2239695	+	136	hypothetical protein													
FUN0_008998	scaffold_7:2240792-2241445	-	163	hypothetical protein		ENOG503PK7N											
FUN0_008999	scaffold_7:2242931-2244857	-	571	histone deacetylase		ENOG503NWW7									GO:0004407 histone deacetylase activity; GO:0016575 histone deacetylation		
FUN0_008999	scaffold_7:2242931-2244577	-	513	histone deacetylase, variant 2		ENOG503NWW7									GO:0004407 histone deacetylase activity; GO:0016575 histone deacetylation		
FUN0_009000	scaffold_7:2245257-2246178	+	269	hypothetical protein		ENOG503NWWT									GO:0006506 GPI anchor biosynthetic process		
FUN0_009001	scaffold_7:2246218-2246899	-	177	hypothetical protein		ENOG503PGUW											
FUN0_009002	scaffold_7:2247715-2248570	-	232	ribose phosphate diphosphokinase subunit prs4		ENOG503NU9Y									GO:0000287 magnesium ion binding; GO:0004749 ribose phosphate diphosphokinase activity; GO:0009156 ribonucleoside monophosphate biosynthetic process; GO:0009165 nucleotide biosynthetic process; GO:0044249 cellular biosynthetic process		
FUN0_009003	scaffold_7:2248970-2250810	-	502	Glutamate 5-kinase		ENOG503NUC0									GO:0005737 cytoplasm; GO:0004349 glutamate 5-kinase activity; GO:0003723 RNA binding; GO:0006561 proline biosynthetic process		
FUN0_009004	scaffold_7:2251161-2252136	-	186	hypothetical protein		ENOG503P3QG											
FUN0_009005	scaffold_7:2252842-2254481	-	522	hypothetical protein		ENOG503PK2W											
FUN0_009006	scaffold_7:2258160-2258792	-	142	hypothetical protein													
FUN0_009007	scaffold_7:2259115-2259382	-	88	hypothetical protein													
FUN0_009008	scaffold_7:2259446-2259960	-	151	ATP-dependent DNA helicase MER3		ENOG503NUTV											
FUN0_009009	scaffold_7:2261122-2261458	-	111	hypothetical protein		ENOG503PB8V											
FUN0_009010	scaffold_7:2261472-2264342	-	861	hypothetical protein		ENOG503PB8V											
FUN0_009011	scaffold_7:2264589-2267092	+	637	hypothetical protein													
FUN0_009012	scaffold_7:2267741-2268803	-	335	hypothetical protein		ENOG503P12S											
FUN0_009013	scaffold_7:2272457-2274053	+	531	hypothetical protein		ENOG503PJPP									GO:0005515 protein binding		
FUN0_009014	scaffold_7:2276907-2278173	+	421	hypothetical protein		ENOG503PJPP											
FUN0_009015	scaffold_7:2279253-2280955	-	477	Alpha-1,3-mannosyltransferase-like protein		ENOG503NW8K									GO:0004378 GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity; GO:0016757 glycosyltransferase activity; GO:0006486 protein glycosylation		
FUN0_009016	scaffold_7:2281128-2282461	+	422	hypothetical protein		ENOG503PE9U											
FUN0_009017	scaffold_7:2284366-2285118	+	212	hypothetical protein		ENOG503PK74											
FUN0_009018	scaffold_7:2285395-2288694	+	1046	hypothetical protein		ENOG503PHII											
FUN0_009019	scaffold_7:2289089-2291560	-	579	hypothetical protein		ENOG503PCMT									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_009020	scaffold_7:2292925-2293557	+	84	hypothetical protein													
FUN0_009021	scaffold_7:2293616-2294202	+	156	transcription initiation at TATA-containing promoter protein		ENOG503NVXS									GO:0005515 protein binding		
FUN0_009022	scaffold_7:2295188-2296410	+	352	hypothetical protein											GO:0005515 protein binding		
FUN0_009023	scaffold_7:2298300-2299975	+	353	proteasome regulatory particle subunit		ENOG503NV7Q											
FUN0_009024	scaffold_7:2302018-2302469	-	132	hypothetical protein		ENOG503G7DX									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_009025	scaffold_7:2302764-2304313	-	376	hypothetical protein		ENOG50KOG0273									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_009026	scaffold_7:2305066-2306773	+	469	hypothetical protein		ENOG501MD0S									GO:0005515 protein binding		
FUN0_009027	scaffold_7:2309806-2312266	-	560	hypothetical protein		ENOG503PCBK									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_009027	scaffold_7:2310379-2312266	-	430	hypothetical protein		ENOG503PCMT									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
